NIR;T2-13;13-juil;13-oct;14-janv;14-avr;14-juil;14-oct;15-janv;15-avr;15-juil;15-oct;16-janv;16-avr;16-juil;16-oct;Orientation;CLI;EPCI;DELEGATION;zonage_3;Sexe Individu;age;Situation_familiale;Enfants_a_charge;Type_logement;QP;MDPH;Nb_enfants_charge_sens_PF
1;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;40;Personne seule;Non;Logement social;Oui;Non;0
2;Pas de contrat;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;;;;;Masculin;39;Personne seule;Non;Autre situation;Non;Non;0
3;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Emploi;NANTES CENTRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;39;Personne seule;Oui;Logement privé;Non;Non;1
4;PPAE;PPAE;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;VIGNOBLE NANTAIS;CC SEVRE ET LOIRE;DELEGATION VIGNOBLE;Espace rural;Masculin;39;Personne seule;Non;Propriétaire ou accédant;Non;Non;
5;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;40;Personne seule;Non;Hébergement;Oui;Non;0
6;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat aidé;Pas de contrat;Contrat aidé;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Social;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;40;Personne seule;Non;Autre situation;Oui;Non;0
7;PPAE;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;ST HERBLAIN - Nord Loire;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;40;Personne seule;Oui;Autre situation;Non;Non;
8;Pas de contrat;Pas de contrat;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;39;Personne seule;Non;Autre situation;Non;Non;
9;PPAE;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;PPAE;PPAE;PPAE;Emploi;PONTCHATEAU;CA CAP ATLANTIQUE;DELEGATION SAINT NAZAIRE;Littorale;Masculin;39; ; ;Autre situation;Non;Non;
10;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Emploi;NANTES OUEST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;39;Personne seule;Non;Logement social;Oui;Non;0
11;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;PPAE;PPAE;PPAE;Pas de contrat;Social;VIGNOBLE NANTAIS;CA CLISSON SEVRE MAINE AGGLO;DELEGATION VIGNOBLE;Espace rural;Masculin;39;Personne seule;Non;Logement privé;Non;Non;0
12;PPAE;Pas de contrat;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;39;Personne seule;Non;Logement social;Oui;Non;
13;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Emploi;VIGNOBLE NANTAIS;CA CLISSON SEVRE MAINE AGGLO;DELEGATION VIGNOBLE;Espace rural;Masculin;39;Personne seule;Non;Hébergement;Non;Non;0
14;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Contrat aidé;Emploi;PAYS D'ANCENIS;CC DU PAYS D'ANCENIS;DELEGATION ANCENIS;Espace rural;Masculin;39;Personne seule;Non;Autre situation;Non;Non;0
15;PPAE;PPAE;PPAE;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Pas de contrat;PPAE;PPAE;Emploi;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;39;Personne seule;Non;Logement social;Oui;Non;
16;Pas de contrat;Pas de contrat;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Contrat aidé;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;ST HERBLAIN - Nord Loire;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;39;Personne seule;Non;Autre situation;Oui;Non;
17;PPAE;Pas de contrat;PPAE;Pas de contrat;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Pas de contrat;Emploi;SAINT-NAZAIRE;CARENE;DELEGATION SAINT NAZAIRE;Espace urbain;Masculin;38;Personne seule;Non;Autre situation;Non;Non;0
18;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Non renseigne;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;38;Personne seule;Non;Autre situation;Non;Non;0
19;PPAE;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Pas de contrat;Pas de contrat;Emploi;NANTES EST;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;38;Personne seule;Non;Logement social;Non;Oui;0
20;Pas de contrat;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Contrat d’insertion;Pas de contrat;Contrat aidé;Contrat aidé;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Pas de contrat;Droit clos refusé ou en attente;Droit clos refusé ou en attente;Emploi;NANTES NORD;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;38;Personne seule;Non;Logement social;Non;Non;0
21;PPAE;PPAE;Pas de contrat;PPAE;Pas de contrat;Droit clos refusé ou en attente;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;PPAE;Emploi;SUD LOIRE;NANTES METROPOLE;DELEGATION NANTES;Espace urbain;Masculin;38;Personne seule;Non;Autre situation;Non;Non;0
