"","X1.2016","X2.2016","X3.2016","X4.2016","X5.2016","X6.2016","X7.2016","X8.2016","X9.2016","X10.2016","X11.2016","X12.2016","X1.2017","X2.2017","X3.2017","X4.2017","X5.2017","X6.2017","X7.2017","X8.2017","X9.2017","X10.2017","X11.2017","X12.2017","X1.2018","X2.2018","X3.2018","X4.2018","X5.2018","X6.2018","X7.2018","X8.2018","X9.2018","X10.2018","X11.2018","X12.2018"
"1","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","Suspension du droit","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu"
"2","avant","RSA perçu","RSA perçu","RSA perçu","RSA perçu","Suspension du droit","Suspension du droit","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","Suspension du droit","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu"
"3","avant","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","sortie","sortie","sortie","sortie","sortie","sortie"
"4","avant","avant","RSA perçu","RSA perçu","Suspension du droit","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","Suspension du droit","RSA perçu","RSA perçu","RSA perçu","Suspension du droit","RSA perçu","RSA perçu","RSA perçu","sortie","sortie","sortie","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu"
"5","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu"
"6","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","Suspension du droit","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","sortie","sortie","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","sortie","sortie","RSA perçu","Suspension du droit","Suspension du droit","RSA perçu"
"7","RSA perçu","RSA perçu","RSA perçu","Suspension du droit","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","Suspension du droit","Suspension du droit","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","sortie","sortie","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","Suspension du droit","RSA perçu","Suspension du droit","RSA perçu","sortie","sortie","sortie","RSA perçu","RSA perçu"
"8","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","sortie","sortie","sortie","sortie","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","Suspension du droit","Suspension du droit","RSA perçu","RSA perçu","RSA perçu","RSA perçu","sortie","sortie","sortie"
"9","RSA perçu","Suspension du droit","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","Suspension du droit","Suspension du droit","Suspension du droit","Suspension du droit","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","sortie","sortie"
"10","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","Suspension du droit","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu","RSA perçu"
